RestaurantID,Restaurant Name,Zip Code,City,Web / Apps,Main Cuisine,Seconday Cuisne,Main Product Sold,Secondary Sold,Avg Ratings,Number of Ratings,Payment Method,Delivery Fee,Avg Price,Descriptions
18,Best Pizzakurier seit 2000,6003,Luzern,Web,Pizza,Kebab,Pizza Fantasia (30cm),Kebab im hausgemachten Fladenbrot,4.6,"3,314",PayPal,0,34.99,"The best CuisineCH food in CityCH, right here on eat.ch! Get expert cooked CuisineCH cuisine delivered right to your home or office. Preparing a MainCH or a SecondCH to be just right isn’t the easiest thing to do, but with NameCH, you can be assured that you’ll be enjoying all the deliciousness of CuisineCH fast! You can easily use PayCH right on our PlatformCH."
49,Pizza Bella Bistrokurier,8808,Freienbach,Apps iOS,Pizza,Italian,Pizza Margherita (vegetarisch),Pizza Prosciutto,4.5,"1,459",CASH,0,37.36,"Get your fill of a MainCH and SecondCH from this awesome little restaurant situated in the heart of CityCH. All sorts of stuff, you name it, they have it. Best part? You can order online right here on eat.ch using PayCH right on our PlatformCH.! Speedy delivery right to your doorstep. "
56,Curry House,3008,Bern,Apps iOS,Indian,Curry,Chicken Coconut Cream,Chicken Curry,3.7,344,CASH,0,51.34,"“Fast delivery and always friendly” – that’s what one of our customers had to say when ordering from this restaurant. So, why stay on the fence? Order online right away and get some yummy MainCH delivered anywhere in CityCH right to your home or office! Don't forget to rate us afterwards. You can easily use PayCH right on our PlatformCH."
58,SAM’S Pizza Kurier,8032,Zürich,Apps Android,Pizza,Italian,Pimp your Pizza - Crispy Pizza Standard (30cm),Pizza Alabama (Crispy),4.1,"1,783",PayPal,0,42.81,"Hate ordering food just to have it delivered cold and uneatable? Well, you won’t be experiencing that when you order online with us! Previous customers specifically point out how on-time the delivery is, and how the food is still warm. If you’re looking for MainCH in CityCH, this is your number one spot. You can easily use PayCH right on our PlatformCH."
82,Thuner Pizza Express,3600,Thun,Web,Pizza,Italian,Pizza Memo (32cm),Pizza Prosciutto,4.6,"1,337",MasterCard,0,31.22,"The NameCH restaurant in CityCH is just as good as its name sounds. Know what’s better? Getting a MainCH or a SecondCH ordered right from the comfort of your home or office right here on eat.ch. A CuisineCH restaurant, the NameCH restaurant is your one-stop food destination. Pay online using PayCH right on our PlatformCH. when you order with us!"
105,Säntis Kebab Pizza Kurier,9100,Herisau,Apps iOS,Pizza,Kebab,Pizza Säntis,Mega Kebab im Fladenbrot,4.1,795,MasterCard,0,30.4,"If you love a MainCH or a SecondCH and happen to be living in CityCH, then you absolutely must try this restaurant. Small, but well equipped, this restaurant is more than ready to get your food delivered fast the second you order online. So how do you order online? Well, you can do that right here, on eat.ch using PayCH on our PlatformCH.."
109,Bruno's Pizzakurier,3800,Interlaken,Apps Android,Pizza,Kebab,Dürüm im Fladenbrot,Kebap-Box mit Pommes Frites,3.9,549,CASH,0,38.27,"It’s called NameCH for a reason. One thing every customer unanimously agrees on is that the food is authentic for sure. So, get off the fence, order and pay online right here, right now, on eat.ch using PayCH right on our PlatformCH, and we'll deliver the most authentic CuisineCH food in CityCH to your doorstep in minutes. Try their a MainCH or a SecondCH."
110,Pinocchio Pizzakurier Amriswil,8580,Amriswil,Web,Pizza,Kebab,Pizza Troja,Dürüm im Fladenbrot,4.3,600,American Express,0,31.94,"MainCH and SecondCH., what more do you want from a restaurant? Order online anywhere from CityCH and you’ll get your delivery in no time. They also have gluten-free and vegan options. The vast number of payment options we offer are gluten free too.  Easily use PayCH right on our PlatformCH."
114,Ari Pizzaexpress,4612,Wangen bei Olten,Web,Pizza,Kebab,Döner Box,Wunschpizza (32cm),4.5,"2,079",Visa,0,34.65,"This place has probably the best MainCH or and SecondCH. you can get in the outskirts of CityCH. Order online right away, and we will get your food delivered straight to your home or office real fast. Bonus tip: order some fries while you are at it. They’re awesome, according to the customers.  Remember to use PayCH right on our PlatformCH."
120,Bamboo Restaurant Delivery Catering,9000,St. Gallen,Web,Asian,Chinese,Mittagsangebot,Süss und Sauer mit gebackenen Pouletstreifen CH,4.4,"3,742",PayPal,0,39.4,"Food with roots! - that means it’s healthy. This casual and cosy restaurant in CityCH has everything from kids’ menus to vegetarian options, and the best part is, you can order online right here from eat.ch using PayCH right on our PlatformCH platform. Get your MainCH or a SecondCH!"
